CPF,Tipo de Financiamento,Valor Financiado,Número de Parcelas,Valor da Parcela,Taxa de Juros (%),Tem Seguro?,Instituição Financeira,Data de Início,Data de Término,Número de Parcelas Pagas,Número de Parcelas em Atraso,Tem Reajuste Anual?,Valor da Entrada
520.893.416-70,Veículo,180279,161,1119.745341614907,6.38,Não,Novais,04/09/2024,08/10/2032,139,0,Sim,41895
827.165.903-03,Imóvel,535095,121,4422.272727272727,2.88,Sim,Aparecida,25/04/2023,30/01/2037,32,7,Sim,83839
127.098.364-40,Veículo,498453,101,4935.178217821782,6.19,Sim,Camargo - ME,09/01/2022,19/01/2051,17,0,Sim,54763
436.205.189-98,Imóvel,584266,76,7687.710526315789,2.32,Sim,Mendonça Costa S/A,01/05/2023,01/05/2030,66,0,Sim,59991
928.713.064-78,Veículo,157137,190,827.0368421052632,6.65,Sim,da Conceição,25/01/2021,14/11/2027,107,2,Não,96179
784.923.165-19,Veículo,328328,325,1010.24,5.7,Sim,Mendes Lopes - EI,13/04/2022,23/04/2042,129,9,Não,73826
250.876.934-74,Imóvel,883653,357,2475.218487394958,3.07,Sim,Santos S/A,07/03/2022,20/08/2027,198,2,Não,64839
684.023.791-50,Veículo,386202,353,1094.056657223796,7.64,Não,Lopes,25/12/2021,27/02/2044,168,7,Não,85791
972.485.603-83,Veículo,243027,279,871.0645161290323,7.26,Sim,Fernandes Sales Ltda.,24/12/2022,17/02/2035,80,0,Sim,26292
072.596.841-94,Imóvel,666566,183,3642.437158469945,4.6,Sim,Castro,09/01/2023,08/04/2054,63,2,Sim,48158
678.209.431-22,Imóvel,810955,136,5962.904411764706,3.0,Sim,Caldeira Siqueira S/A,13/01/2022,25/05/2050,35,4,Não,54687
594.732.608-65,Imóvel,920182,342,2690.590643274854,3.36,Sim,Cavalcante e Filhos,16/04/2024,07/12/2040,235,3,Sim,43863
780.134.256-90,Imóvel,647902,22,29450.090909090908,4.11,Sim,Freitas,01/02/2021,14/05/2027,8,7,Não,83341
910.738.562-59,Imóvel,985570,126,7821.984126984127,1.43,Sim,Moreira,16/01/2022,21/08/2047,48,8,Sim,56643
538.716.204-08,Imóvel,682234,186,3667.924731182796,1.33,Sim,Rocha Aparecida - EI,22/04/2025,16/03/2030,174,8,Não,11024
329.801.675-68,Veículo,245848,289,850.6851211072665,8.55,Sim,Cavalcanti,03/12/2022,30/03/2033,164,11,Sim,26241
187.302.645-53,Imóvel,581697,119,4888.210084033613,4.07,Sim,Fonseca,07/06/2020,29/06/2031,102,0,Não,32741
163.250.978-40,Imóvel,716213,58,12348.5,2.08,Sim,Teixeira - ME,16/04/2024,24/01/2028,9,9,Sim,96816
384.790.256-38,Veículo,406930,251,1621.235059760956,8.35,Não,Sousa,11/10/2022,19/06/2036,176,0,Não,70970
190.352.786-40,Imóvel,548427,165,3323.8,2.23,Sim,Cavalcante S.A.,04/12/2022,14/11/2054,142,7,Não,78913
407.198.652-20,Imóvel,666080,203,3281.1822660098524,4.44,Sim,Albuquerque,06/11/2023,31/12/2034,58,6,Sim,99272
467.953.218-19,Imóvel,980748,67,14638.029850746268,1.12,Sim,Teixeira,23/03/2025,30/01/2053,32,3,Sim,60980
586.329.471-09,Veículo,252721,17,14865.941176470587,8.12,Não,Macedo Vargas S.A.,02/03/2023,20/03/2033,13,11,Não,18681
758.260.394-00,Veículo,202994,245,828.5469387755102,7.42,Sim,da Rocha,26/03/2023,12/07/2026,209,12,Não,76589
934.278.156-09,Veículo,346291,196,1766.7908163265306,6.37,Sim,Dias,25/01/2025,03/08/2039,176,9,Sim,86766
874.025.913-79,Veículo,459202,328,1400.0060975609756,7.38,Sim,Pastor,18/10/2020,07/11/2050,248,8,Não,97199
064.735.912-06,Imóvel,852859,219,3894.3333333333335,3.9,Sim,Peixoto - EI,01/02/2024,23/12/2044,24,7,Sim,70476
194.085.326-51,Veículo,316150,99,3193.434343434344,9.18,Sim,Guerra,12/05/2021,26/03/2039,31,9,Sim,93573
524.831.796-73,Imóvel,963686,326,2956.092024539877,3.39,Sim,das Neves,15/10/2022,22/09/2044,304,1,Sim,71039
102.483.567-71,Imóvel,730638,316,2312.1455696202534,2.81,Sim,Mendonça Viana e Filhos,05/12/2020,16/05/2038,82,4,Sim,67533
901.526.483-05,Imóvel,629683,155,4062.470967741936,2.54,Sim,Novais,01/01/2023,11/02/2036,123,9,Sim,61028
365.891.407-66,Veículo,326166,115,2836.2260869565216,6.57,Não,Siqueira,10/03/2021,13/11/2027,53,8,Não,13920
839.172.460-31,Veículo,496011,127,3905.59842519685,8.01,Sim,Nunes,03/11/2024,20/02/2046,62,6,Sim,94411
653.712.890-03,Imóvel,792856,265,2991.9094339622643,1.28,Sim,Silveira - ME,13/01/2024,30/01/2029,241,7,Não,44105
765.843.012-90,Veículo,57732,13,4440.923076923077,6.64,Não,Souza,18/11/2021,18/10/2048,11,8,Não,65937
094.712.536-16,Imóvel,874145,208,4202.620192307692,4.27,Sim,Novais,16/05/2021,18/05/2039,78,11,Não,59695
208.745.931-23,Imóvel,845020,17,49707.05882352941,1.43,Sim,Vasconcelos Ltda.,17/01/2024,03/05/2046,1,8,Sim,34804
190.243.768-31,Imóvel,526387,134,3928.2611940298502,4.59,Sim,Vasconcelos,15/09/2023,23/06/2046,91,5,Sim,88252
657.398.140-57,Imóvel,601970,327,1840.8868501529053,2.64,Sim,Sampaio S.A.,22/03/2024,01/09/2045,175,7,Não,99752
904.587.231-50,Imóvel,817864,53,15431.396226415094,2.63,Sim,Borges,27/02/2021,23/11/2032,51,5,Não,44988
125.380.649-70,Veículo,102341,104,984.0480769230768,6.86,Não,Ramos - ME,27/12/2022,11/04/2032,44,0,Sim,58260
489.021.635-98,Veículo,201237,158,1273.6518987341772,7.46,Sim,Ferreira,24/12/2024,02/03/2026,9,3,Sim,20255
458.631.972-00,Imóvel,536133,30,17871.1,4.41,Sim,Brito S/A,14/07/2021,14/07/2038,13,12,Não,68238
234.715.609-80,Veículo,411071,341,1205.4868035190616,6.43,Sim,da Mota S.A.,16/03/2024,09/05/2045,33,12,Sim,69385
182.046.973-50,Veículo,361883,54,6701.537037037037,5.62,Sim,Vasconcelos,31/10/2023,21/08/2054,28,0,Não,94009
250.649.381-60,Veículo,367859,317,1160.4384858044164,6.39,Sim,Vasconcelos,19/07/2020,11/09/2031,47,12,Sim,17297
342.917.805-32,Imóvel,645997,275,2349.08,3.1,Sim,Moraes,14/09/2020,02/01/2036,73,6,Não,29966
892.014.576-85,Imóvel,570575,19,30030.263157894737,2.22,Sim,Oliveira,27/10/2020,16/03/2042,10,0,Sim,42469
018.924.673-13,Imóvel,828333,290,2856.3206896551724,3.05,Sim,Abreu,06/04/2023,16/03/2045,55,10,Não,99941
473.608.591-66,Veículo,155434,14,11102.42857142857,9.48,Sim,Sales,09/06/2023,15/02/2053,0,8,Não,87679
284.157.960-30,Imóvel,644028,165,3903.2,1.38,Sim,Pires,16/06/2023,24/02/2027,41,10,Não,70983
138.967.245-09,Veículo,274160,290,945.3793103448276,6.44,Não,Sales,08/08/2021,20/12/2049,112,9,Sim,86535
350.841.792-14,Veículo,429912,277,1552.028880866426,5.58,Sim,Nascimento,18/05/2021,04/07/2040,172,7,Sim,31438
450.618.932-98,Veículo,95110,284,334.8943661971831,9.57,Não,Souza Leão Ltda.,23/07/2021,20/01/2043,45,5,Sim,17689
751.630.289-95,Veículo,204682,337,607.3649851632048,7.27,Não,Câmara Borges Ltda.,20/03/2021,23/08/2028,302,2,Sim,71427
701.389.462-13,Veículo,129822,193,672.6528497409327,9.66,Não,Borges,28/01/2022,28/08/2026,110,4,Não,14545
307.521.684-44,Imóvel,793570,249,3187.028112449799,4.13,Sim,Brito e Filhos,20/12/2020,27/02/2042,19,6,Sim,99444
731.490.268-22,Imóvel,844276,295,2861.952542372881,4.64,Sim,da Conceição,17/01/2024,11/09/2031,214,2,Sim,64997
986.427.310-87,Veículo,488665,226,2162.234513274336,5.6,Não,Cavalcante - EI,06/01/2025,09/04/2047,71,11,Sim,80285
107.269.845-58,Imóvel,629364,349,1803.3352435530087,1.33,Sim,Ferreira S.A.,05/09/2020,19/10/2025,101,10,Não,38907
129.057.684-01,Imóvel,857500,201,4266.169154228855,4.76,Sim,Machado,10/05/2025,07/12/2031,112,9,Sim,32275
146.380.527-62,Imóvel,705195,47,15004.148936170212,2.03,Sim,Cunha S/A,06/10/2020,31/08/2053,30,2,Não,41143
743.618.209-96,Veículo,109866,124,886.016129032258,9.23,Não,Garcia,16/11/2021,12/02/2049,25,9,Não,87191
281.935.607-95,Imóvel,906463,272,3332.5845588235293,2.37,Sim,Aparecida,14/01/2025,17/08/2044,31,2,Não,84243
536.721.904-70,Imóvel,769085,338,2275.399408284024,3.09,Sim,Casa Grande,28/07/2021,02/03/2041,328,5,Sim,75630
651.840.932-06,Imóvel,586327,219,2677.292237442922,2.84,Sim,Sousa e Filhos,31/05/2021,10/06/2050,180,5,Sim,87792
437.206.195-16,Imóvel,856342,285,3004.7087719298247,4.08,Sim,Alves,29/04/2024,30/05/2027,180,6,Sim,52020
980.371.642-50,Imóvel,695051,78,8910.910256410256,2.75,Sim,Novaes S/A,05/07/2021,23/05/2039,17,8,Sim,83996
285.416.309-51,Imóvel,550155,180,3056.4166666666665,1.16,Sim,da Mata,06/06/2022,31/03/2047,137,6,Sim,99785
069.385.124-42,Imóvel,995168,37,26896.432432432437,3.05,Sim,Santos Freitas - EI,29/10/2022,05/05/2033,36,10,Sim,35689
098.354.627-47,Imóvel,700608,326,2149.104294478528,2.46,Sim,Teixeira,21/04/2025,31/01/2026,227,1,Sim,16799
024.589.137-41,Imóvel,976262,324,3013.1543209876545,4.0,Sim,Peixoto,04/07/2022,05/08/2041,115,7,Sim,79990
570.129.683-03,Veículo,328849,333,987.5345345345344,7.95,Sim,Jesus,22/01/2022,13/09/2052,220,7,Sim,36417
930.812.546-98,Veículo,156886,246,637.7479674796748,8.3,Não,Teixeira Ferreira S.A.,27/09/2021,11/09/2039,114,3,Sim,58912
924.781.063-96,Veículo,119346,319,374.12539184952976,7.66,Sim,da Cruz S.A.,08/11/2021,09/07/2027,163,1,Sim,25505
475.098.612-76,Imóvel,895036,326,2745.509202453988,4.65,Sim,da Mata - EI,02/11/2020,22/12/2037,163,0,Não,89523
431.570.296-06,Imóvel,952193,353,2697.43059490085,1.45,Sim,Costela,17/02/2024,29/09/2034,54,0,Sim,71092
653.187.420-17,Imóvel,969399,280,3462.139285714285,1.74,Sim,Albuquerque,26/01/2021,08/10/2053,56,3,Não,53631
751.943.208-41,Veículo,344940,201,1716.1194029850749,6.12,Não,Rocha,19/01/2023,13/08/2038,60,2,Sim,49144
176.459.820-20,Veículo,235129,99,2375.040404040404,7.95,Não,Peixoto,28/08/2022,08/08/2035,90,1,Sim,60841
504.932.176-06,Veículo,88922,306,290.5947712418301,6.78,Sim,Fogaça,25/06/2023,06/03/2055,39,10,Sim,27621
705.943.286-83,Imóvel,944758,352,2683.971590909091,2.95,Sim,Martins,16/04/2025,02/05/2055,260,11,Sim,20314
807.149.523-97,Veículo,370513,24,15438.041666666666,5.45,Não,Borges,27/08/2023,15/02/2050,13,5,Não,96893
601.234.798-78,Veículo,158224,231,684.952380952381,8.23,Não,Novais e Filhos,07/11/2024,07/10/2036,138,1,Não,99434
089.214.567-67,Veículo,436109,14,31150.64285714286,9.93,Sim,Garcia da Cunha - EI,29/08/2021,27/05/2025,14,6,Não,93280
018.795.463-10,Imóvel,731404,63,11609.587301587302,4.24,Sim,Andrade,04/06/2024,26/12/2040,15,11,Sim,50461
805.361.497-39,Veículo,306507,174,1761.5344827586207,8.81,Sim,Barros da Paz - EI,19/10/2024,24/01/2036,166,11,Não,73887
467.312.985-73,Veículo,453007,193,2347.186528497409,5.06,Não,Duarte,22/06/2023,17/04/2043,132,2,Sim,43793
718.630.295-59,Veículo,259475,291,891.6666666666666,7.38,Sim,Rodrigues,17/10/2023,18/08/2034,150,9,Sim,82809
509.687.123-12,Veículo,163810,318,515.125786163522,6.95,Sim,Correia,10/10/2022,17/10/2032,232,6,Sim,64708
648.935.072-65,Veículo,473608,180,2631.155555555556,6.43,Não,Vieira,11/01/2021,08/01/2040,162,1,Não,95990
204.386.159-05,Imóvel,659339,174,3789.304597701149,1.2,Sim,Fernandes,13/07/2021,26/02/2032,89,9,Sim,84071
431.657.028-53,Veículo,383407,62,6183.9838709677415,9.59,Sim,Marques Machado - ME,24/08/2022,08/06/2025,40,11,Sim,65641
673.894.120-03,Imóvel,924920,153,6045.228758169935,3.11,Sim,da Conceição,06/03/2021,02/05/2042,97,8,Sim,55381
351.092.768-03,Veículo,229290,335,684.4477611940298,6.07,Sim,Moura,23/10/2023,26/12/2050,7,7,Sim,56979
165.089.324-89,Veículo,87029,317,274.53943217665613,6.0,Sim,da Paz e Filhos,27/06/2021,13/09/2048,279,4,Sim,30973
351.740.286-90,Imóvel,954496,102,9357.803921568628,3.14,Sim,Siqueira S/A,17/10/2021,06/02/2034,58,6,Sim,20947
675.210.389-59,Veículo,160833,95,1692.9789473684211,5.46,Não,Santos Sales S.A.,22/02/2021,31/01/2047,65,12,Sim,30870
607.842.513-71,Imóvel,800811,338,2369.263313609468,1.41,Sim,Pinto,22/05/2022,21/10/2051,333,2,Não,18065
608.574.291-67,Imóvel,878589,102,8613.617647058823,4.09,Sim,Cavalcanti,22/05/2025,14/06/2049,56,8,Não,60311
902.538.714-41,Imóvel,584561,57,10255.456140350878,2.56,Sim,Rodrigues,19/06/2023,13/04/2052,1,11,Sim,25490
417.025.389-23,Imóvel,741469,129,5747.821705426357,3.07,Sim,Cunha e Filhos,23/10/2024,29/05/2042,49,4,Não,96655
928.730.415-79,Veículo,465393,195,2386.630769230769,8.45,Não,Peixoto,21/10/2020,07/12/2038,173,2,Sim,85198
719.462.053-70,Imóvel,530839,40,13270.975,4.55,Sim,Pastor da Costa - EI,26/06/2023,11/09/2033,0,9,Sim,84591
179.382.405-32,Veículo,383677,168,2283.7916666666665,5.16,Não,Porto,20/05/2024,20/12/2040,98,10,Sim,93789
894.567.023-83,Imóvel,736635,18,40924.16666666666,2.26,Sim,Fernandes,12/04/2022,28/11/2051,14,9,Não,60971
760.839.154-57,Veículo,490906,360,1363.6277777777775,9.48,Sim,Novais Montenegro - EI,19/09/2022,13/06/2040,243,9,Não,61158
541.923.706-70,Imóvel,856678,266,3220.593984962406,3.21,Sim,Silveira,25/02/2021,18/11/2037,89,8,Sim,11803
910.485.263-05,Imóvel,902730,14,64480.71428571428,4.39,Sim,da Costa,29/12/2024,04/10/2031,11,12,Sim,80239
853.247.169-28,Veículo,125072,265,471.96981132075473,5.66,Sim,Viana,20/02/2021,23/09/2030,127,10,Sim,35817
612.957.834-28,Veículo,103911,322,322.7049689440994,7.03,Não,Azevedo,28/12/2021,09/06/2031,147,12,Sim,43101
628.759.310-59,Imóvel,680990,332,2051.1746987951806,5.0,Sim,Martins Duarte S/A,13/09/2022,01/03/2034,10,12,Sim,84313
729.386.140-04,Imóvel,753840,102,7390.588235294118,4.78,Sim,Castro,13/02/2023,25/11/2031,86,7,Sim,40835
539.108.627-21,Imóvel,592841,219,2707.036529680365,1.09,Sim,Campos S.A.,25/03/2024,02/01/2042,129,1,Não,93863
328.097.645-65,Veículo,137886,241,572.1410788381743,7.93,Sim,Aparecida Ramos - ME,26/06/2023,18/05/2031,174,3,Não,24454
130.742.965-34,Imóvel,706036,189,3735.6402116402114,2.83,Sim,Pastor,19/07/2022,14/10/2054,83,9,Sim,50218
285.976.301-59,Imóvel,648543,324,2001.6759259259256,1.26,Sim,Barbosa da Costa - EI,29/03/2022,25/12/2027,95,7,Não,51220
810.634.752-44,Imóvel,607918,41,14827.268292682927,1.48,Sim,Casa Grande S.A.,21/06/2022,24/06/2049,11,10,Sim,96935
472.065.839-38,Imóvel,822619,218,3773.4816513761466,2.0,Sim,Viana,15/12/2022,05/01/2030,23,12,Sim,11939
218.496.705-01,Imóvel,543503,155,3506.4709677419355,2.82,Sim,Pastor S.A.,17/02/2024,27/12/2040,123,12,Não,66394
980.623.147-31,Imóvel,614516,144,4267.472222222223,3.34,Sim,Costela,01/09/2020,11/01/2053,65,2,Sim,43680
708.159.643-66,Imóvel,638349,218,2928.206422018349,4.28,Sim,Costela,04/08/2022,19/09/2046,197,12,Sim,37870
037.469.218-13,Imóvel,709891,160,4436.81875,3.54,Sim,Câmara,15/05/2024,11/09/2047,133,5,Não,96837
689.751.043-20,Veículo,148198,242,612.3884297520661,8.68,Sim,Lima da Mota e Filhos,26/02/2023,03/01/2043,102,12,Sim,70654
425.169.873-82,Imóvel,597117,330,1809.4454545454544,2.99,Sim,Rios Fogaça Ltda.,13/03/2023,10/01/2049,298,0,Não,49240
859.614.027-11,Veículo,93422,317,294.70662460567826,8.2,Sim,Pires,29/05/2021,22/01/2039,259,3,Não,14633
982.046.315-70,Imóvel,612866,190,3225.6105263157897,1.02,Sim,Porto,24/09/2024,18/04/2026,83,9,Sim,36421
871.950.324-50,Imóvel,754225,334,2258.1586826347307,1.34,Sim,Santos,08/10/2024,21/09/2027,42,5,Sim,16091
237.591.804-50,Veículo,455590,326,1397.515337423313,8.02,Sim,Cavalcanti - EI,12/02/2021,09/03/2029,67,10,Não,44338
936.217.805-21,Veículo,258184,148,1744.4864864864865,8.04,Não,Campos da Mata e Filhos,24/12/2024,02/09/2048,6,4,Sim,42395
281.547.039-04,Veículo,153216,305,502.34754098360656,5.78,Sim,Lima,16/10/2024,01/08/2045,275,4,Sim,92596
351.402.897-41,Veículo,215530,141,1528.5815602836878,7.49,Não,Azevedo Rocha S.A.,28/11/2023,24/04/2037,127,9,Não,80278
173.845.920-97,Veículo,380157,172,2210.2151162790697,7.66,Não,Vargas Nascimento Ltda.,29/11/2023,23/01/2026,73,6,Não,15743
604.573.298-74,Imóvel,797935,65,12275.923076923076,1.1,Sim,Gonçalves,11/07/2020,16/04/2048,34,8,Não,55766
316.807.495-01,Imóvel,809379,181,4471.707182320442,1.69,Sim,Mendonça - ME,26/05/2023,14/05/2036,78,5,Sim,70596
081.573.694-01,Veículo,497353,283,1757.4310954063603,9.42,Não,Fonseca,10/12/2024,08/09/2025,208,3,Não,87625
890.246.735-00,Imóvel,933995,226,4132.721238938053,3.79,Sim,Mendes Porto S/A,14/07/2024,23/09/2035,185,8,Sim,84265
418.735.629-00,Imóvel,824355,62,13296.048387096776,2.26,Sim,Cirino Viana - EI,06/05/2021,02/04/2052,41,5,Não,94279
186.450.923-60,Veículo,162344,209,776.7655502392345,6.04,Não,Cirino S.A.,17/09/2020,05/05/2028,79,11,Não,35271
034.879.521-14,Imóvel,586018,141,4156.156028368794,2.79,Sim,Costela - EI,25/11/2020,03/09/2036,65,7,Sim,69467
468.109.327-04,Imóvel,628296,213,2949.7464788732395,4.08,Sim,Peixoto S.A.,07/09/2020,16/08/2040,100,2,Sim,68857
234.658.109-70,Veículo,280160,22,12734.545454545454,7.18,Sim,Gonçalves Gomes - EI,04/03/2024,24/04/2051,4,8,Sim,55740
589.342.610-05,Imóvel,899493,251,3583.637450199203,3.26,Sim,Abreu Monteiro e Filhos,06/11/2023,01/11/2054,163,3,Não,79072
291.843.065-05,Imóvel,601678,253,2378.1739130434785,4.06,Sim,Fogaça,05/10/2023,10/06/2048,87,9,Sim,76922
569.482.730-92,Imóvel,639853,38,16838.236842105263,1.44,Sim,Cardoso,05/05/2021,21/08/2043,10,5,Não,37922
629.357.410-99,Veículo,275877,336,821.0625,9.78,Não,da Conceição e Filhos,20/10/2021,10/12/2029,12,10,Sim,99958
381.702.549-14,Veículo,175762,13,13520.153846153846,6.13,Não,Alves Oliveira Ltda.,12/05/2022,14/12/2042,5,7,Não,50710
936.271.085-40,Imóvel,787674,321,2453.8130841121497,3.45,Sim,Mendonça,03/10/2020,10/01/2047,298,9,Sim,13633
453.960.721-99,Imóvel,770340,88,8753.863636363636,3.12,Sim,Montenegro,16/05/2023,08/02/2028,47,3,Não,45650
912.438.560-33,Veículo,85897,258,332.9341085271318,7.26,Não,Azevedo,04/03/2024,02/06/2032,224,8,Sim,78554
738.601.459-75,Imóvel,775984,80,9699.8,3.99,Sim,Araújo,19/08/2023,27/10/2047,46,11,Não,24728
720.396.851-03,Imóvel,929345,123,7555.650406504065,4.17,Sim,Machado Sá e Filhos,29/03/2023,30/07/2045,27,6,Não,78066
940.183.567-57,Imóvel,580364,111,5228.504504504504,2.87,Sim,Melo Nunes - EI,13/05/2025,01/08/2030,25,9,Não,97985
842.390.167-03,Imóvel,591855,227,2607.2907488986784,3.51,Sim,Martins Freitas e Filhos,15/10/2022,23/08/2051,5,7,Não,99296
165.873.940-00,Veículo,55618,14,3972.714285714286,8.1,Sim,Cavalcanti Barbosa Ltda.,21/08/2020,26/03/2048,6,5,Sim,68482
718.206.394-87,Veículo,492789,337,1462.2818991097922,7.73,Não,Ribeiro Alves S.A.,26/01/2022,23/02/2026,214,5,Não,64764
190.468.352-51,Veículo,103069,238,433.0630252100841,8.85,Não,Moreira Ltda.,01/07/2023,20/10/2039,39,7,Não,70279
246.905.781-76,Imóvel,724351,298,2430.7080536912754,1.27,Sim,Teixeira Teixeira Ltda.,31/08/2022,08/09/2044,171,11,Não,69894
840.372.169-22,Veículo,293021,12,24418.416666666668,9.68,Não,Ramos Jesus S/A,02/12/2021,15/08/2038,0,12,Sim,80003
875.421.306-17,Veículo,242012,260,930.8153846153846,6.78,Sim,Aragão,28/10/2022,27/07/2054,222,12,Não,89821
198.542.763-09,Veículo,420149,85,4942.929411764706,6.2,Sim,Ferreira Azevedo S/A,09/01/2025,03/12/2038,52,6,Sim,58279
413.608.952-05,Imóvel,925189,76,12173.53947368421,2.53,Sim,Albuquerque,29/05/2024,31/10/2027,54,11,Sim,46165
279.805.314-50,Veículo,162225,359,451.8802228412257,5.97,Não,Silveira,22/07/2021,07/08/2028,329,3,Não,96734
472.185.603-26,Veículo,153478,323,475.1640866873065,8.01,Sim,Viana,12/02/2025,04/04/2034,259,11,Sim,57635
614.930.287-31,Veículo,166035,51,3255.5882352941176,9.94,Não,Vargas S.A.,22/10/2022,03/11/2049,47,3,Não,78638
209.638.514-89,Veículo,73871,226,326.8628318584071,5.55,Não,Alves Pimenta - EI,08/04/2024,28/04/2054,172,7,Não,66305
189.057.342-60,Veículo,378609,359,1054.6211699164346,8.54,Sim,Câmara,06/05/2023,30/08/2042,256,2,Sim,55234
752.806.194-85,Imóvel,783575,301,2603.2392026578077,4.71,Sim,Viana,10/01/2024,17/04/2027,41,10,Não,11693
365.142.089-24,Veículo,366532,239,1533.6066945606694,8.92,Sim,Borges,11/10/2024,29/07/2036,197,6,Não,32592
261.875.034-90,Imóvel,523221,325,1609.9107692307691,2.76,Sim,Mendes,13/06/2021,22/11/2030,194,3,Não,20187
403.579.826-65,Imóvel,638363,75,8511.506666666666,4.67,Sim,da Costa e Filhos,07/07/2023,05/07/2036,36,4,Sim,22568
251.078.349-14,Veículo,220122,121,1819.190082644628,6.9,Sim,Borges Duarte S/A,07/10/2024,06/02/2039,96,8,Sim,42336
308.164.725-80,Veículo,138525,79,1753.481012658228,5.25,Sim,Fogaça Ltda.,11/08/2020,18/09/2051,54,8,Sim,87789
914.563.807-10,Veículo,394104,24,16421.0,9.55,Sim,Cavalcante - EI,26/02/2022,01/12/2025,4,5,Não,73055
804.912.635-89,Imóvel,529975,86,6162.5,4.29,Sim,Castro,03/02/2021,31/08/2040,38,3,Não,33807
235.147.968-82,Veículo,387317,188,2060.196808510638,8.92,Não,Sousa da Paz S/A,24/08/2020,14/03/2052,66,4,Não,13679
378.526.014-80,Imóvel,531561,303,1754.326732673267,1.91,Sim,Lima,22/09/2022,23/11/2054,240,12,Não,84011
579.068.132-86,Veículo,479684,321,1494.342679127726,7.77,Sim,Camargo,09/01/2023,31/03/2029,227,7,Não,48258
086.537.429-56,Veículo,352720,248,1422.258064516129,5.62,Sim,Abreu,20/10/2022,22/02/2043,0,12,Não,45159
967.854.032-00,Imóvel,599931,25,23997.24,1.52,Sim,Souza Souza - EI,28/06/2022,12/08/2051,15,9,Sim,39230
049.516.782-76,Veículo,301589,92,3278.141304347826,6.0,Sim,Barbosa S/A,05/12/2024,12/11/2039,87,8,Não,98841
072.659.481-49,Imóvel,630697,59,10689.77966101695,2.98,Sim,Porto,25/09/2022,15/04/2055,31,2,Sim,56278
920.458.613-33,Imóvel,767141,227,3379.4757709251103,1.25,Sim,das Neves S.A.,28/11/2020,20/08/2039,116,10,Não,45780
831.975.246-91,Veículo,290302,24,12095.916666666666,7.01,Não,Fogaça,07/11/2022,07/03/2031,3,6,Não,31275
730.815.964-75,Veículo,154906,164,944.5487804878048,5.53,Sim,Melo,19/08/2022,21/07/2046,152,3,Não,70783
837.210.569-30,Imóvel,564632,51,11071.21568627451,1.91,Sim,Cardoso e Filhos,27/10/2021,26/11/2030,25,5,Sim,74806
517.890.324-23,Imóvel,731296,52,14063.384615384615,1.3,Sim,das Neves - ME,03/11/2023,09/11/2027,4,8,Não,24823
693.715.028-86,Imóvel,991700,171,5799.415204678363,4.0,Sim,Nascimento,25/06/2023,13/02/2051,138,10,Não,42881
504.179.326-34,Imóvel,694644,263,2641.2319391634983,3.96,Sim,da Rosa,25/08/2024,22/04/2036,164,12,Não,64189
160.743.592-61,Veículo,306057,174,1758.948275862069,5.8,Não,Cardoso,19/01/2023,22/01/2031,115,8,Sim,59621
028.356.794-56,Veículo,288882,126,2292.714285714286,6.19,Sim,Pires Cunha S.A.,12/12/2020,24/03/2033,28,3,Sim,90463
432.916.758-19,Imóvel,856992,219,3913.205479452055,3.03,Sim,Aragão - EI,23/08/2023,21/07/2036,130,0,Não,93858
201.936.487-50,Veículo,456479,338,1350.5295857988165,5.45,Sim,Cavalcanti,15/08/2024,30/05/2040,104,4,Sim,23211
492.710.856-20,Imóvel,513994,18,28555.222222222223,3.81,Sim,Cavalcanti Moraes Ltda.,10/02/2021,10/11/2029,9,10,Sim,86172
946.132.750-16,Veículo,317639,144,2205.8263888888887,7.86,Não,Araújo Gonçalves S/A,31/08/2022,08/06/2042,58,8,Não,82042
023.417.958-97,Imóvel,925315,305,3033.8196721311474,4.81,Sim,Ramos,26/01/2023,15/01/2034,254,5,Não,47808
158.274.069-02,Veículo,249254,25,9970.16,7.32,Não,Leão e Filhos,17/12/2024,07/11/2048,20,12,Sim,18233
278.459.360-65,Veículo,182610,65,2809.3846153846152,5.83,Sim,Cassiano,13/10/2022,09/11/2036,23,3,Sim,83746
012.468.935-33,Imóvel,833162,23,36224.434782608696,1.47,Sim,Macedo - EI,22/08/2023,27/06/2029,20,1,Sim,53140
821.967.403-22,Veículo,313525,306,1024.5915032679738,9.96,Não,Fernandes S.A.,25/10/2021,14/05/2026,88,1,Não,79943
316.904.527-06,Imóvel,922241,175,5269.948571428571,4.16,Sim,da Rocha Moura Ltda.,21/10/2021,18/05/2026,131,4,Não,20827
057.492.836-74,Veículo,125067,82,1525.2073170731708,6.52,Sim,Novaes,05/02/2025,05/08/2044,21,0,Não,97220
317.289.054-60,Veículo,52413,164,319.5914634146341,6.21,Não,Pinto Pimenta Ltda.,05/01/2025,20/05/2039,2,10,Não,98236
653.408.192-05,Veículo,96508,222,434.7207207207208,5.85,Não,Pastor S/A,06/11/2023,16/09/2032,188,10,Sim,91118
916.027.543-06,Veículo,225294,343,656.8338192419825,7.88,Sim,Gonçalves,12/02/2023,02/06/2037,315,3,Sim,81393
320.584.671-08,Veículo,365943,258,1418.3837209302326,6.06,Sim,Barbosa Freitas - EI,05/08/2020,26/03/2048,47,3,Não,91631
981.064.325-05,Imóvel,729963,188,3882.781914893617,1.71,Sim,Rocha,27/10/2021,07/12/2046,105,0,Sim,70186
