CPF	Tipo de Seguro	Seguradora	Valor da Cobertura	Número de Sinistros	Valor do Prêmio Mensal
370.248.516-35	Vida	Castro	874948	5	620
905.864.271-20	Automóvel	Ramos	419392	5	1429
654.308.921-06	Vida	Cassiano Pastor - EI	777740	1	435
853.210.674-90	Vida	Moura	542165	4	656
198.547.302-04	Vida	Guerra	580863	3	612
976.024.531-07	Residencial	Rodrigues Gonçalves e Filhos	383678	3	507
213.478.905-05	Automóvel	Nunes	454669	0	821
154.293.086-33	Residencial	Vargas	87590	3	784
247.389.615-19	Residencial	da Luz	99819	3	1211
312.857.496-00	Residencial	da Costa Campos S.A.	63304	5	856
279.463.851-37	Residencial	Silva	189368	2	470
360.785.924-83	Vida	Vasconcelos - EI	644373	2	1172
192.834.607-31	Residencial	Santos e Filhos	302025	0	779
702.389.654-65	Automóvel	Sampaio Barros - EI	174063	3	730
726.134.508-35	Residencial	Pires	346266	1	251
429.061.873-13	Vida	Gonçalves - ME	744209	0	443
509.342.687-38	Automóvel	da Costa S.A.	211315	4	822
319.706.482-87	Automóvel	Aparecida	87333	3	1112
297.153.640-80	Automóvel	Silveira Novais e Filhos	308103	2	892
028.694.315-89	Vida	Rios Aragão e Filhos	952208	5	1465
036.852.149-42	Vida	Nogueira Costa - ME	594986	0	817
237.819.054-97	Automóvel	Moraes Borges Ltda.	348743	3	739
264.501.397-06	Residencial	Ferreira Moreira Ltda.	401179	3	982
386.041.927-78	Vida	Leão	597085	0	361
412.307.865-62	Vida	Costa das Neves - EI	607011	0	154
945.861.270-58	Residencial	Lima Lopes Ltda.	228914	0	485
853.240.671-80	Vida	Monteiro	768642	2	958
136.872.904-50	Automóvel	Guerra - ME	58190	1	470
593.742.061-61	Vida	Cavalcanti Machado S.A.	816469	5	1227
709.218.643-96	Residencial	Fonseca	322625	0	490
931.756.248-55	Residencial	Fonseca	113580	3	792
017.635.294-52	Vida	Nogueira	571913	3	869
789.304.651-10	Residencial	Cavalcanti	474560	5	1045
486.351.279-19	Vida	Pinto	699669	0	952
734.528.016-08	Automóvel	Rios Ltda.	246366	3	767
269.754.308-29	Automóvel	Sá da Luz - ME	213295	1	679
164.930.257-61	Automóvel	Novaes e Filhos	236878	4	1187
486.071.529-20	Automóvel	Guerra Ltda.	485723	4	588
375.162.049-43	Vida	Fonseca S.A.	512308	3	1078
184.650.923-89	Automóvel	Rocha	133757	5	1262
064.132.587-80	Vida	Rios e Filhos	682925	2	822
295.481.673-28	Residencial	Lima	228827	2	530
912.657.084-01	Vida	Sá	563062	3	1218
862.015.497-49	Residencial	Macedo	462554	2	926
127.398.406-40	Residencial	Fonseca da Paz e Filhos	95481	4	1092
984.701.362-40	Vida	Novaes - ME	510949	2	491
680.491.325-60	Residencial	Siqueira Pacheco - EI	479913	1	394
438.975.602-83	Residencial	Fogaça	493395	0	808
947.520.386-92	Automóvel	Mendes Garcia - EI	226630	0	609
243.580.791-05	Automóvel	Porto S/A	222230	0	164
934.150.862-24	Vida	da Luz	554951	0	117
843.657.209-29	Vida	Novaes S.A.	550922	5	735
483.027.619-31	Vida	Oliveira	739155	4	1312
769.204.531-34	Vida	Silva	560709	5	767
426.197.803-22	Residencial	Sá	259093	0	844
476.095.831-20	Automóvel	Dias Machado Ltda.	147309	2	875
035.214.796-25	Residencial	Correia Ramos S.A.	303040	0	378
048.235.679-00	Automóvel	Borges Carvalho S.A.	125749	1	1039
321.695.047-61	Automóvel	Pastor	404177	0	521
391.052.867-86	Vida	Machado	666145	4	967
795.068.214-02	Residencial	Nunes e Filhos	431356	5	671
769.854.210-67	Automóvel	Dias Mendes Ltda.	123754	1	204
568.419.027-85	Vida	Barbosa	610623	3	1089
381.925.067-03	Automóvel	da Rosa	75043	2	1193
497.352.861-73	Automóvel	Andrade e Filhos	234261	2	1028
682.045.931-98	Automóvel	Viana e Filhos	139390	3	635
197.645.032-25	Automóvel	Garcia Sampaio - EI	407576	4	714
895.163.042-06	Vida	Rios Lopes - EI	756806	0	132
615.897.430-75	Vida	Brito	865884	4	1331
417.852.609-01	Automóvel	da Mata	454299	0	325
018.425.396-98	Residencial	Farias Macedo Ltda.	467363	0	899
301.978.465-48	Vida	Araújo Sá Ltda.	780338	5	882
651.897.324-28	Automóvel	Dias	349262	5	1376
321.590.786-03	Residencial	Vieira Macedo S.A.	78803	4	1072
794.208.136-22	Automóvel	Aragão	296107	3	1198
853.140.627-71	Residencial	Rodrigues	454091	5	1312
864.902.351-70	Automóvel	Correia Andrade - ME	447523	1	1067
837.612.054-90	Vida	Macedo	888031	3	910
365.801.924-70	Vida	Pastor Viana e Filhos	546705	5	967
745.023.891-88	Vida	Caldeira - ME	561996	1	748
319.520.486-05	Vida	Fogaça Almeida e Filhos	646182	5	1178
193.074.268-13	Residencial	Moura	373094	2	784
938.567.214-28	Vida	Nunes Porto Ltda.	520242	2	675
186.579.403-10	Vida	Andrade	603407	5	1451
786.459.012-85	Residencial	Barros	123922	3	1054
531.809.246-24	Automóvel	da Rocha Correia - ME	370033	4	1238
869.234.150-98	Automóvel	Fogaça - EI	252232	0	935
405.832.971-88	Residencial	Rocha Pacheco Ltda.	397436	0	306
560.841.739-93	Automóvel	da Rocha Mendonça Ltda.	140735	4	935
908.527.146-02	Automóvel	da Mota da Conceição S/A	482880	0	567
102.468.395-89	Residencial	Santos	154620	3	648
356.140.298-42	Vida	da Conceição	669586	4	551
156.783.294-64	Automóvel	Sá Aragão e Filhos	298392	0	429
683.721.950-21	Residencial	Machado	407431	3	929
243.095.817-14	Residencial	Melo Montenegro e Filhos	249339	4	625
021.753.964-52	Residencial	Alves	126399	4	986
450.718.362-62	Residencial	Sampaio Barbosa S/A	305735	4	874
951.804.736-75	Automóvel	Pastor Ltda.	445346	5	1476
365.249.810-06	Vida	Barbosa	584278	2	361
237.514.698-00	Residencial	Fogaça	111741	4	1251
982.415.036-60	Vida	Nascimento	566949	5	833
472.395.180-60	Vida	Macedo Rezende S/A	607152	3	632
471.695.023-99	Automóvel	Cunha	173372	0	379
940.152.836-51	Residencial	Vargas	364894	1	1033
738.146.059-93	Residencial	Pimenta Freitas S/A	463494	5	1127
793.162.485-82	Automóvel	Freitas	101497	5	854
457.986.302-00	Residencial	Borges Cavalcante S/A	159450	4	669
301.785.426-44	Automóvel	da Rocha	329119	4	1306
907.862.143-50	Vida	Freitas	617496	3	471
726.095.314-43	Residencial	Almeida S.A.	131615	4	619
914.630.527-07	Vida	Farias Mendes S.A.	606511	0	835
258.134.706-62	Vida	Rezende Santos - ME	838163	2	751
701.698.235-12	Automóvel	Sampaio	334693	0	159
327.804.569-65	Vida	Duarte	881985	3	822
349.260.875-29	Automóvel	Moraes Vasconcelos Ltda.	54169	4	732
345.978.620-56	Residencial	Moraes - ME	266466	1	633
163.085.924-98	Vida	Dias Lopes Ltda.	678026	1	431
513.782.640-53	Residencial	Casa Grande S/A	300417	5	638
495.086.213-89	Residencial	Ferreira - EI	371747	1	950
095.741.683-01	Residencial	Camargo	337327	1	347
827.915.043-97	Vida	Lima Cardoso - EI	548910	3	671
849.601.532-70	Automóvel	Fogaça - ME	186607	4	534
197.583.046-66	Automóvel	Nascimento	122188	2	382
106.937.548-93	Vida	da Costa	962563	1	1056
198.204.735-60	Residencial	Cardoso Vieira S/A	219209	2	854
049.152.736-52	Automóvel	Freitas	242229	5	1447
385.264.091-15	Vida	Moreira	534634	2	1117
214.359.087-32	Automóvel	Viana Andrade S.A.	372045	4	633
361.092.745-34	Vida	Albuquerque Ferreira - ME	572263	1	576
064.953.178-75	Automóvel	Andrade S.A.	413930	4	1132
025.197.834-60	Automóvel	Dias S.A.	295001	3	1110
307.589.642-00	Automóvel	Almeida	226529	1	420
027.591.384-88	Vida	Mendes	673565	2	819
642.897.310-31	Vida	Gomes	796261	3	521
649.038.125-70	Vida	Casa Grande	958157	4	744
058.379.641-93	Automóvel	da Cunha	486872	3	1297
423.718.905-88	Residencial	Rios Vargas e Filhos	474608	5	1098
023.579.481-32	Vida	Cavalcanti e Filhos	582349	3	1208
783.024.651-35	Residencial	Sales - EI	108726	1	256
456.982.730-65	Automóvel	Albuquerque	480036	3	997
241.375.098-32	Vida	Costa Ltda.	872362	3	552
413.760.928-40	Vida	Jesus Albuquerque S.A.	905121	5	1130
236.045.917-16	Automóvel	Moraes Alves e Filhos	98454	4	1070
165.097.832-40	Vida	Nunes Cardoso Ltda.	837053	4	733
938.261.704-31	Automóvel	Vargas	176302	0	333
184.097.236-03	Vida	Ramos	785280	2	1113
807.624.139-13	Vida	Abreu	517052	2	472
160.359.428-06	Vida	da Mata	580830	1	721
041.725.639-61	Automóvel	Rocha Ltda.	497760	2	516
537.492.610-16	Residencial	Fonseca	321224	5	1053
967.281.435-64	Vida	Cardoso S/A	970241	2	1109
486.125.709-30	Residencial	Montenegro	344070	2	461
435.621.708-07	Residencial	Moreira Sampaio S/A	420388	5	1039
834.179.526-46	Automóvel	Cunha Almeida - EI	102909	1	323
843.521.697-73	Residencial	Fogaça - ME	469463	2	788
687.401.259-20	Residencial	Rezende	284375	4	916
428.019.673-78	Residencial	da Rosa Souza S/A	294949	4	572
708.146.329-04	Vida	Cardoso	511420	0	284
529.680.143-15	Automóvel	Cirino Aragão Ltda.	201459	5	648
920.581.376-12	Residencial	Abreu	216296	2	648
169.204.357-99	Vida	Silveira da Paz Ltda.	663256	4	1379
210.485.637-07	Residencial	da Mota	100324	5	1248
982.350.671-02	Vida	Aragão	618846	1	657
285.746.930-65	Residencial	Duarte Cunha S.A.	217244	5	1254
180.729.435-88	Automóvel	Sousa	146035	3	1091
723.148.950-88	Vida	Andrade	513382	5	1372
034.978.261-03	Automóvel	Mendonça Cassiano e Filhos	192590	1	971
753.091.628-95	Residencial	Nogueira	120127	2	375
372.490.158-50	Automóvel	das Neves	262670	3	1195
592.046.318-05	Vida	Castro	856357	4	828
806.495.723-00	Automóvel	Santos	307822	1	435
249.367.850-83	Automóvel	Albuquerque S.A.	113158	0	990
160.479.358-93	Residencial	Fonseca - ME	326908	4	775
740.385.691-01	Automóvel	Barros Alves S/A	306362	0	458
486.731.205-35	Residencial	Lima Ltda.	151184	3	643
690.431.752-34	Vida	da Rocha Casa Grande - ME	911648	5	1292
025.497.831-23	Automóvel	Cavalcante	475076	1	207
178.043.625-44	Vida	Ribeiro	588242	4	841
176.489.032-96	Vida	Campos - EI	630440	2	830
493.807.615-20	Automóvel	Silveira S.A.	184315	3	409
325.604.891-98	Vida	Cunha - ME	578668	0	931
946.017.283-04	Vida	Nunes Costa - ME	599609	3	1081
801.936.742-03	Residencial	Gomes	140452	3	874
785.162.940-30	Automóvel	Garcia	81766	1	718
751.042.936-61	Vida	Lima	521744	3	417
015.876.943-01	Automóvel	da Cunha	245908	5	1301
602.714.935-34	Automóvel	da Luz Rezende Ltda.	72470	1	386
618.927.530-30	Vida	Jesus	509174	0	842
917.420.356-80	Residencial	Vieira Sousa Ltda.	173011	5	762
594.386.012-60	Vida	Abreu Porto e Filhos	706318	2	898
716.930.845-20	Residencial	Sá	156036	5	830
032.146.985-24	Vida	Guerra	700029	0	495
017.425.836-44	Automóvel	Lima	463951	5	1191
015.943.786-57	Automóvel	da Conceição Farias S/A	271996	4	533
032.958.641-60	Vida	Alves S/A	870836	2	457
579.481.203-60	Automóvel	da Rocha Campos - ME	67297	5	770
826.905.143-89	Automóvel	Aparecida	464410	2	447
942.051.638-51	Residencial	Aragão	210675	0	326
910.723.856-86	Automóvel	Silveira S.A.	394435	2	624
103.568.279-68	Vida	Cardoso	784317	0	420
381.697.024-96	Vida	Almeida Cirino Ltda.	818432	3	678
657.129.308-03	Residencial	Carvalho	191797	0	393
974.036.821-22	Vida	Costa S/A	916366	5	1228
631.875.204-80	Automóvel	Borges	292228	4	1117
897.624.135-55	Residencial	Lima da Rocha - EI	399267	4	1212
916.387.542-09	Residencial	Azevedo	190068	1	397
417.865.023-80	Vida	Vargas	735875	3	1229
825.743.901-05	Automóvel	da Rosa Ltda.	459349	4	1026
074.958.326-65	Residencial	Câmara Rezende e Filhos	124466	3	650
517.294.036-70	Residencial	Vasconcelos	233111	3	1229
302.695.147-16	Vida	Garcia	727277	5	957
076.938.214-22	Automóvel	Vasconcelos Nogueira e Filhos	407632	1	419
650.174.392-34	Automóvel	Gonçalves	451264	2	451
640.751.238-71	Automóvel	Casa Grande Abreu - EI	127797	2	368
409.568.123-33	Vida	Vargas S/A	992682	1	339
140.593.687-84	Residencial	Duarte - ME	440520	4	779
018.297.564-94	Automóvel	Sousa - ME	290055	1	897
637.549.210-61	Automóvel	Cirino Borges S/A	361240	4	540
905.742.681-11	Residencial	Cunha S/A	325292	4	571
382.407.961-50	Residencial	Duarte	93751	1	1066
123.750.468-62	Residencial	Cavalcante S.A.	353127	3	1021
725.109.684-67	Automóvel	Melo Pacheco e Filhos	347497	4	684
501.678.932-03	Residencial	Barbosa Machado S/A	142487	0	178
014.789.632-04	Vida	Cavalcanti - ME	565057	4	1222
270.514.836-17	Automóvel	Machado da Cunha - ME	282652	5	1253
096.837.251-12	Automóvel	Novaes	229894	3	596
426.157.398-91	Vida	Pastor	691774	3	917
372.618.405-80	Residencial	Castro S/A	180556	4	942
276.801.435-44	Vida	das Neves	717659	3	761
273.956.480-56	Automóvel	Almeida S/A	261895	5	1299
408.325.769-56	Vida	Albuquerque	795731	3	1056
708.145.296-58	Residencial	Gonçalves e Filhos	407689	1	327
940.836.527-56	Residencial	Sá	55364	3	849
839.417.256-37	Automóvel	Cavalcante	212261	1	286
703.945.162-06	Automóvel	Pacheco	367589	1	717
846.375.120-26	Residencial	Andrade S/A	275107	5	1052
560.178.423-07	Automóvel	Teixeira	285201	2	1162
964.572.301-99	Residencial	Sousa	425545	4	1368
168.093.425-24	Automóvel	Barros	128705	0	526
917.204.658-94	Vida	Câmara	916237	5	1047
473.621.890-87	Vida	Sampaio S/A	991437	3	947
176.354.908-93	Vida	Campos	660746	3	1085
853.679.412-73	Vida	Machado	693044	2	989
703.462.185-35	Automóvel	Novaes	95025	1	932
867.935.204-74	Automóvel	Silveira	289320	5	933
516.729.840-76	Residencial	Fogaça	117314	5	1266
308.572.941-05	Automóvel	Macedo - ME	325254	5	605
965.712.403-43	Automóvel	Santos	258808	2	844
346.081.529-98	Automóvel	Pimenta Sousa S.A.	217921	5	713
079.816.345-39	Vida	Cunha S.A.	674446	4	1131
931.428.650-98	Residencial	Sousa	352979	5	749
278.603.549-00	Vida	Alves Pires Ltda.	880336	0	282
216.385.709-30	Residencial	Leão Melo S/A	69014	2	568
362.470.958-56	Residencial	Silveira Garcia S/A	489153	5	603
693.540.218-24	Vida	da Cruz	807955	3	590
245.786.910-20	Vida	Silveira Ltda.	909939	4	856
246.795.830-29	Residencial	Aparecida S/A	82781	1	397
679.104.235-43	Residencial	Peixoto Dias S.A.	463486	4	828
783.926.514-64	Automóvel	Macedo	400167	5	887
852.369.471-46	Vida	Cunha Duarte - ME	611763	2	1025
235.140.786-53	Residencial	Jesus Vasconcelos - EI	319544	4	773
739.624.108-13	Vida	Viana Rezende Ltda.	616685	4	1359
058.743.912-23	Vida	Pacheco - EI	633519	5	871
347.058.291-23	Automóvel	Cirino - ME	499113	2	450
603.917.458-75	Residencial	Marques	162489	5	1181
302.461.985-24	Residencial	da Rosa	133751	5	1364
571.932.046-61	Residencial	Ramos - ME	331199	5	881
760.951.842-58	Automóvel	Cunha Ltda.	55774	3	812
432.716.859-91	Vida	Farias Nunes e Filhos	931172	5	1373
431.785.029-04	Vida	Santos	755798	3	916
381.276.594-28	Residencial	das Neves	124532	2	668
350.427.168-07	Residencial	Marques - ME	99376	5	1089
980.467.532-38	Residencial	Peixoto Ltda.	438671	3	463
582.149.670-58	Vida	Vieira - ME	977519	1	801
835.021.974-23	Automóvel	da Luz da Cunha - ME	79783	3	629
601.382.754-08	Automóvel	Abreu	57108	2	1026
320.149.567-07	Automóvel	Pastor Moura Ltda.	449389	0	370
596.273.801-21	Residencial	da Luz	475453	1	638
741.956.380-20	Automóvel	Pires Alves Ltda.	424446	2	842
068.215.379-68	Automóvel	Souza	449987	5	1208
287.590.641-02	Residencial	Vasconcelos Ltda.	375689	4	610
950.831.427-32	Vida	Pastor	716760	2	792
479.612.358-09	Residencial	Montenegro	488256	3	1187
451.239.670-52	Automóvel	Novais	372652	2	512
635.198.074-75	Residencial	Gonçalves Teixeira S/A	331850	5	606
643.251.987-09	Automóvel	Nunes Viana S.A.	159262	5	1071
409.813.725-97	Residencial	Moura	314333	3	1275
846.259.701-30	Vida	Moraes	526634	2	699
564.781.932-09	Vida	Brito Santos e Filhos	948557	3	407
051.642.793-80	Residencial	da Costa Dias e Filhos	177350	2	487
567.432.910-99	Automóvel	Cavalcanti S.A.	279789	4	1296
204.537.186-71	Vida	Costela	959517	4	1098
723.615.409-16	Residencial	Lopes	185769	0	281
719.845.026-11	Vida	Aragão Câmara e Filhos	909709	5	754
647.081.529-49	Residencial	Barbosa	219064	3	730
482.396.105-60	Residencial	Correia	179247	1	371
302.194.786-78	Automóvel	Mendes	51190	1	860
653.019.824-51	Automóvel	Rocha e Filhos	494526	3	545
801.472.953-60	Vida	Farias Castro - ME	705481	0	739
948.312.507-32	Automóvel	Mendonça Lopes e Filhos	148632	5	1146
472.380.196-04	Residencial	Farias	103017	3	838
320.816.574-90	Automóvel	Cirino Jesus S/A	147395	0	162
239.051.768-40	Automóvel	Cunha	319802	3	424
532.607.814-71	Vida	Pacheco	510010	3	651
035.749.128-97	Vida	Moura Ltda.	934111	2	551
195.436.728-73	Residencial	Nogueira	85712	0	177
192.047.653-99	Automóvel	Almeida	78216	1	236
706.134.592-61	Automóvel	Moura - EI	96708	0	748
946.752.831-28	Residencial	Mendes Silva - ME	396215	4	941
205.476.398-56	Residencial	Leão Albuquerque e Filhos	402682	0	303
637.589.412-37	Vida	Costa Dias Ltda.	824109	5	1048
541.320.798-05	Automóvel	Moreira Moura S.A.	130724	3	880
230.845.961-15	Vida	Campos	987133	4	1081
759.810.364-00	Vida	Nascimento	830852	0	919
394.765.281-09	Automóvel	Ramos	162660	0	223
983.765.204-74	Automóvel	Duarte Siqueira S.A.	481554	0	218
638.150.429-33	Vida	Cardoso S.A.	515361	3	802
159.782.604-94	Automóvel	Jesus	317266	2	913
718.409.362-31	Residencial	Teixeira Ltda.	70982	3	777
543.612.980-33	Residencial	Cardoso	248270	1	262
913.607.248-69	Residencial	Lima	341269	1	503
785.326.190-02	Automóvel	Farias	482511	3	945
948.123.567-09	Residencial	Albuquerque	415941	4	1176
276.895.140-49	Vida	Sá	620423	2	628
916.057.328-77	Vida	Jesus	626307	5	1139
246.018.379-87	Automóvel	Fernandes e Filhos	484732	0	154
350.827.469-10	Automóvel	Sousa	62505	4	1395
235.891.604-89	Automóvel	Fonseca - ME	227245	5	693
265.478.139-91	Vida	Cassiano	845919	0	826
415.670.328-26	Residencial	Araújo	290036	2	775
563.429.807-56	Automóvel	Correia	309477	5	1455
061.729.354-61	Vida	Costa	989116	1	423
074.638.219-78	Automóvel	Garcia	369190	3	651
120.569.348-33	Vida	Almeida Ltda.	577809	5	892
356.801.927-21	Residencial	Aparecida Ltda.	186403	2	1071
378.916.042-31	Automóvel	Fonseca Aparecida S/A	146113	5	791
937.240.156-07	Vida	Rios Moraes S/A	744574	0	320
237.945.016-16	Residencial	Carvalho - EI	445560	5	1116
269.801.543-89	Automóvel	Mendes Ltda.	53408	4	1274
786.095.142-85	Residencial	Rezende	474775	5	1439
705.829.413-50	Residencial	Araújo	225515	4	1023
907.258.461-94	Residencial	Cardoso Ltda.	64924	3	1082
856.719.420-20	Automóvel	Câmara - EI	363641	1	999
852.047.613-90	Automóvel	da Conceição	280271	5	1398
892.046.135-05	Vida	Oliveira Câmara S/A	686192	3	1024
502.769.143-25	Vida	Cavalcanti	649028	1	609
241.069.583-33	Vida	Silva	972732	2	765
972.450.681-94	Residencial	Andrade Rezende Ltda.	469177	4	819
531.426.789-64	Residencial	Rezende	86748	3	1026
823.947.056-47	Automóvel	Mendes	137608	2	1185
065.728.934-56	Vida	Almeida	860121	1	1050
903.726.415-80	Automóvel	Vieira Fonseca S/A	79738	5	1474
319.587.046-01	Automóvel	Melo	267387	5	1420
206.398.174-40	Vida	Aparecida Camargo S/A	526710	0	468
501.932.684-42	Automóvel	Brito da Costa - EI	270768	0	907
785.491.036-75	Automóvel	Andrade Vargas S.A.	365848	3	1041
947.082.165-30	Vida	Jesus Rios e Filhos	501102	5	831
312.679.580-30	Residencial	Pires	439810	3	586
120.536.987-21	Vida	Sousa Gonçalves e Filhos	582667	2	1007
730.495.281-41	Vida	Costela	847960	0	415
521.068.347-80	Automóvel	Ramos S/A	366021	3	518
920.318.754-50	Automóvel	Cassiano S/A	170768	2	817
841.725.396-37	Automóvel	Fogaça e Filhos	444129	5	763
086.597.342-38	Automóvel	Barros - ME	343008	0	917
067.158.293-30	Residencial	da Luz	355637	1	715
930.465.218-98	Automóvel	Pimenta	294456	3	792
136.254.079-06	Vida	Oliveira e Filhos	517316	2	1031
361.502.789-21	Vida	Moraes	789500	3	823
746.198.520-58	Residencial	Sampaio da Rosa S.A.	432019	2	1016
925.638.471-09	Residencial	Sá	309625	4	1051
185.693.207-95	Residencial	Novais	499229	1	930
951.678.243-46	Vida	Viana Ribeiro S/A	785600	3	691
173.825.960-95	Vida	Cirino Monteiro - ME	931859	1	362
025.397.681-21	Residencial	Casa Grande Albuquerque e Filhos	415341	5	1249
987.156.342-64	Vida	Barbosa - ME	975457	5	1170
098.453.167-00	Residencial	Freitas	460938	4	539
932.506.781-12	Vida	da Conceição	985275	2	993
739.410.856-20	Vida	Correia Pires - ME	680790	0	820
329.516.784-28	Vida	Campos	955792	4	1140
062.317.495-25	Residencial	Câmara Pereira e Filhos	326491	3	1230
943.601.285-33	Vida	Fogaça Aragão S.A.	963114	2	1109
736.084.195-00	Automóvel	Vieira	128530	0	941
263.785.410-35	Residencial	Alves Câmara S.A.	260667	3	1045
327.549.681-64	Vida	Gomes	802933	2	754
947.216.830-22	Residencial	Abreu das Neves S/A	121834	5	721
450.869.713-57	Automóvel	Cirino	101392	3	1040
750.863.219-21	Automóvel	Moraes S.A.	449697	2	378
540.189.763-48	Automóvel	Teixeira S/A	344139	5	758
701.693.284-22	Vida	Nogueira	752095	4	1360
150.926.478-76	Residencial	Costa e Filhos	408165	2	1051
637.285.419-82	Automóvel	Castro S.A.	364507	1	655
086.734.951-48	Automóvel	Moura S.A.	138514	5	1212
438.509.621-05	Vida	Peixoto S.A.	827556	5	885
840.716.392-96	Automóvel	Rocha Santos - ME	364066	0	347
132.670.984-40	Automóvel	Pacheco	50402	1	909
471.536.289-91	Residencial	Ferreira - ME	378284	2	719
657.213.094-07	Residencial	Aragão Andrade - ME	463442	5	916
612.875.403-17	Vida	Sá	641591	5	1258
378.150.926-59	Residencial	das Neves	180326	3	1170
954.706.381-20	Residencial	Ramos - EI	176165	5	656
697.154.032-80	Automóvel	Ramos Borges S/A	80349	5	724
502.438.169-60	Automóvel	Fernandes	279616	1	284
918.534.026-05	Residencial	Camargo Correia Ltda.	154215	2	675
194.528.306-89	Automóvel	Sales	167339	4	823
025.374.186-62	Vida	Garcia	691982	5	886
279.814.306-31	Automóvel	Vieira S.A.	80148	5	695
749.586.201-76	Vida	Montenegro Viana S.A.	958199	1	817
934.765.218-00	Residencial	Farias Aragão S.A.	113090	4	804
012.347.859-60	Automóvel	Abreu	332492	3	1210
640.127.953-25	Automóvel	da Costa	422109	1	638
472.536.180-17	Automóvel	Barros	313667	5	980
784.912.065-58	Residencial	Mendonça	315283	5	659
608.713.924-96	Vida	Casa Grande Lima e Filhos	904255	1	488
198.356.720-59	Vida	Costela - EI	939194	3	565
403.619.258-24	Vida	Albuquerque Pinto e Filhos	660226	1	795
162.890.475-58	Automóvel	Peixoto S/A	156955	1	574
851.407.369-93	Residencial	Lopes - ME	435013	1	982
349.610.582-89	Residencial	Albuquerque - ME	462206	0	812
617.523.940-70	Residencial	Azevedo	85356	0	949
563.904.821-24	Vida	Rodrigues Fogaça - ME	662521	5	1317
208.543.619-60	Automóvel	Vasconcelos S.A.	57762	2	824
397.084.265-47	Vida	Costela	570266	4	781
379.206.458-83	Residencial	Moreira Gomes - EI	182513	3	676
719.063.852-03	Residencial	Andrade S.A.	417934	4	988
951.836.724-82	Vida	Azevedo	821650	0	661
492.156.087-02	Automóvel	Sampaio	490731	0	294
927.468.350-29	Automóvel	Cunha	101738	4	951
654.307.891-00	Residencial	Novais	286615	0	109
127.654.398-00	Residencial	Sales	270106	0	730
437.509.861-93	Automóvel	Cavalcante da Cruz - EI	197188	4	939
816.542.903-51	Vida	Cassiano S/A	614780	0	164
960.728.543-38	Automóvel	Barbosa Andrade S.A.	210254	2	676
237.485.906-10	Vida	da Conceição Ltda.	658821	4	860
349.867.152-91	Automóvel	Sampaio	96160	0	281
670.219.438-22	Automóvel	Leão e Filhos	496067	2	646
438.609.572-10	Automóvel	Fernandes Pacheco e Filhos	440847	4	938
056.213.784-07	Residencial	da Cunha	367425	0	813
249.835.017-97	Residencial	Montenegro Rocha e Filhos	90952	1	557
046.298.351-05	Automóvel	da Mata	322440	0	228
254.063.178-90	Residencial	Moura Vieira - ME	414896	4	664
153.029.486-05	Automóvel	Correia Ltda.	338848	4	1247
964.812.730-13	Automóvel	Alves	88410	5	1441
576.120.938-12	Residencial	Montenegro Ltda.	355168	5	611
260.984.357-74	Vida	Santos	679416	5	633
249.817.356-00	Residencial	Melo da Luz - EI	473191	1	837
268.741.059-49	Residencial	Fogaça Castro S.A.	451771	0	359
496.853.172-91	Residencial	Alves Vieira e Filhos	410532	5	916
049.651.827-58	Vida	Araújo Ltda.	853918	5	1288
146.852.973-00	Vida	Nunes S/A	521576	2	561
273.859.061-68	Residencial	Cirino - EI	484470	0	685
726.904.513-52	Vida	Costela	505062	3	760
401.752.689-67	Automóvel	Leão - ME	266978	2	754
193.042.865-06	Automóvel	Lopes	198790	2	712
802.345.716-08	Vida	Oliveira Ltda.	646625	1	425
562.194.730-43	Automóvel	Peixoto Ltda.	373771	5	1476
590.428.173-05	Automóvel	Pastor	111728	3	781
071.526.983-68	Automóvel	da Conceição Novaes - ME	450096	5	1385
416.980.572-02	Residencial	Pinto S/A	152161	3	511
048.956.371-66	Automóvel	Martins	102665	2	421
234.576.198-91	Residencial	Mendonça S.A.	106564	0	844
548.716.329-46	Automóvel	Brito Correia Ltda.	387421	1	918
018.594.762-01	Automóvel	Araújo	92618	3	1172
195.472.068-85	Automóvel	da Luz - EI	324759	3	850
798.463.250-29	Vida	Sales Souza - ME	762286	5	1413
953.746.821-64	Automóvel	Cavalcanti Marques S.A.	366666	3	910
295.374.108-97	Automóvel	Farias Marques - ME	106201	0	556
148.203.695-98	Automóvel	da Conceição S.A.	383543	0	819
689.741.235-09	Residencial	Ribeiro Campos S/A	350828	1	368
895.204.167-49	Automóvel	Gonçalves Rocha Ltda.	461731	0	478
018.594.263-60	Automóvel	Nunes - ME	55932	1	320
265.079.483-65	Residencial	Guerra Fernandes Ltda.	176960	2	1172
974.163.058-10	Automóvel	Leão	348545	2	1190
125.794.063-52	Residencial	Costela Ltda.	156414	0	331
213.976.485-46	Automóvel	Mendes	285606	1	631
570.698.241-49	Automóvel	Andrade Barros - EI	117461	4	633
634.970.152-61	Automóvel	Cavalcante Pereira - EI	424533	3	1282
518.930.426-42	Vida	Santos - EI	709430	3	1267
109.264.758-94	Automóvel	Novaes	194353	2	891
046.538.291-60	Residencial	da Paz	291036	4	1095
495.862.017-67	Automóvel	Duarte	374524	3	1268
138.457.029-23	Residencial	Dias - ME	71621	3	792
520.736.498-74	Vida	Dias Garcia Ltda.	740508	2	810
